sample,X_D65,Y_D65,Z_D65,x_D65,y_D65,X_F2,Y_F2,Z_F2,x_F2,y_F2
139,0.668415454076,0.679398201864,0.637008675937,0.336763368358,0.342296734047,0.744243918433,0.703420649019,0.337759791275,0.416844272789,0.393979529618
140,0.513872387305,0.522195567018,0.492193542197,0.336246374377,0.34169254948,0.573553178909,0.542447967851,0.26043472639,0.416694442579,0.394096069735
141,0.358779198562,0.359590913604,0.337810047751,0.33969507493,0.340463613359,0.403422374777,0.378956930144,0.178608184034,0.419799819887,0.394341169369
142,0.254540525015,0.252021817987,0.229240547296,0.345935750418,0.34251267739,0.286997809798,0.266981964157,0.121172183861,0.425086243883,0.395439813313
143,0.177547867198,0.174732989528,0.155495360453,0.349657705878,0.344114166077,0.200646808041,0.184487562811,0.0823483215515,0.429206923169,0.394640413022
144,0.115268019364,0.110486565126,0.0932127566402,0.361378751052,0.34638833159,0.130266912103,0.117387077602,0.0492798417909,0.438706870979,0.395330761101
145,0.0699118163643,0.0661437448281,0.0542968983273,0.367275613568,0.347480379266,0.0791447795,0.0704842345801,0.0288196005847,0.443515796683,0.39498336657
146,0.0536084558793,0.0500822367352,0.0425970552202,0.366458959638,0.342354281042,0.0607802909613,0.0535293608644,0.022513689585,0.444224576996,0.391229744227
147,0.519461679672,0.495345450905,0.391552111547,0.369366278624,0.352218292502,0.594035369224,0.537490128443,0.207319188821,0.443692517302,0.401458163047
148,0.402845009612,0.381248161665,0.296158633572,0.372917691786,0.352925271639,0.46374514638,0.417126823905,0.156634842202,0.446980338634,0.402047310807
149,0.267734315078,0.249890578806,0.191364995729,0.377627832216,0.352460003263,0.309703938153,0.275961972339,0.101028403674,0.451006993598,0.401870186844
150,0.18448865127,0.166785639993,0.118228406011,0.392944816593,0.355238938906,0.215996045306,0.188673007248,0.0623930529487,0.46245679699,0.403957000632
151,0.125702655912,0.110574461067,0.0738738770691,0.405295028306,0.356518157895,0.145768837687,0.123803218009,0.039015193237,0.472374792513,0.401193563367
152,0.551497902166,0.500517540201,0.336108878954,0.397297197157,0.360571119253,0.64353703589,0.56236620125,0.17782837269,0.46507359615,0.406412773442
153,0.403224243106,0.360369450828,0.22621835289,0.407374556007,0.364078667243,0.474355258292,0.409775608445,0.119600410388,0.472591886995,0.408252305954
